20 550.0 0.00476057805578 0.0193208879418 209.388110365 215.476543547  0 
20 555.648458953 0.0517642543639 0.0385423471112 263.77530624 92.6509778789  0 
20 561.354927159 0.0343327110869 0.0661559362276 177.328480805 145.767863629  0 
20 567.120000367 0.0883182959895 0.0207943501121 74.2558868705 352.025233547  0 
20 572.944280446 0.0717529308079 0.0194648571908 227.97587476 258.473551458  0 
20 578.828375447 0.0440477500638 0.0348799287595 93.0186710395 311.526349726  0 
20 584.772899665 0.0636177463604 0.0415947440507 100.657705626 344.079944698  0 
20 590.778473703 0.0527518256199 0.080174867442 275.903643262 228.230251123  0 
20 596.845724538 0.0827284241545 0.0316458244588 130.381798429 202.459147905  0 
20 602.975285586 0.0353161090371 0.00866821483606 347.65671406 117.688480863  0 
20 609.167796769 0.0169741526101 0.00167745160857 219.125274775 266.927169634  0 
20 615.423904579 0.0259659751136 0.0738738453042 281.012267938 310.526356782  0 
20 621.74426215 0.0140953575653 0.0495401987281 284.58988352 60.7870455672  0 
20 628.129529322 0.0378820195577 0.082184053917 121.831642004 357.262187862  0 
20 634.58037271 0.0456394520269 0.0295704398138 82.0725325419 302.03469498  0 
20 641.097465779 0.057371474297 0.0734619161177 84.7389472102 314.514169376  0 
20 647.681488907 0.0415958443272 0.102874855675 75.8907020693 201.396130423  0 
20 654.333129462 0.0247677766511 0.0348523230994 355.435095636 225.635064836  0 
20 661.053081869 0.0391886853841 0.121945393456 278.402535485 62.9808295518  0 
20 667.842047685 0.0620130022076 0.0721795074245 57.297377715 41.9086846489  0 
20 674.700735673 0.0440127644598 0.0688171646581 137.297573156 282.309550525  0 
20 681.629861876 0.092190672597 0.0883423621211 50.677539259 25.8113447253  0 
20 688.630149687 0.0625546464315 0.00249826158159 240.937821142 222.677327796  0 
20 695.702329932 0.0500329581004 0.0333882059923 38.7825573667 221.373536728  0 
20 702.84714094 0.0104390387388 0.0117584172509 321.84240428 128.148680783  0 
